IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
464,1,2,0.1,0.1,,2,3,1,0101001UI73XUU,,2033-07-23T13:00:00.000Z,,0
463,1,2,0.1,0.1,,2,3,1,0101001VGAQ0OQ,,2033-07-23T13:00:00.000Z,,0
462,1,2,0.1,0.1,,2,3,1,0101001G4JG500,,2033-07-23T13:00:00.000Z,,0
461,1,2,0.1,0.1,,2,3,1,01010015GUT82P,,2033-07-23T13:00:00.000Z,,0
460,1,2,0.1,0.1,,2,3,1,0101001S3JVAT9,,2033-07-23T13:00:00.000Z,,0
459,1,2,0.1,0.1,,2,3,1,0101001IS4ZDNC,,2033-07-23T13:00:00.000Z,,0
458,1,2,0.1,0.1,,2,3,1,0101001F2HC4Y7,,2033-07-23T13:00:00.000Z,,0
457,1,2,0.1,0.1,,2,3,1,0101001LL76Z8L,,2033-07-23T13:00:00.000Z,,0
456,1,2,0.1,0.1,,2,3,1,0101001MP48K55,,2033-07-23T13:00:00.000Z,,0
455,1,2,0.1,0.1,,2,3,1,0101001MWJ5HKJ,,2033-07-23T13:00:00.000Z,,0
454,1,2,0.1,0.1,,2,3,1,0101001HFRH6V9,,2033-07-23T13:00:00.000Z,,0
